Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Архимович,Вікторія,Тимофіївна,female,1962-08-16,Програміст,хутір Брянка,"набережна Данила Крижанівського, буд. 5 кв. 7, Хорол , 48139",+380 03 894-56-87,tereza96@example.com
Іщак,Павло,Марківич,male,2004-10-13,Офіс-менеджер,місто Устилуг,"провулок Джерельна, буд. 108, Балта, 63918",154 89 67,maryna59@example.net
Стець,Ліза,Іванівна,female,1951-11-04,Асистент керівника,селище Трускавець,"узвіз Студена, буд. 4, Чоп, 51360",+380 66 551 28 10,valenkolevko@example.net
Журба,Зорян,Леонідович,male,1982-06-16,Архітектор,місто Ворожба,"вулиця Ламаний, буд. 1, Бібрка, 76110",617 50 76,giurchenko@example.net
Іващенко,Соломія,Захарівна,female,1986-03-31,Копірайтер,хутір Судак ,"набережна Басейний 1-й, буд. 5 кв. 23, Олександрівськ, 22563",+380 (11) 798-97-39,ekopytko@example.org
Ляшко,Йосип,Павлович,male,1994-12-12,Аналітик даних,селище Жовті Води,"узвіз Левадна, буд. 64 кв. 785, Дніпрорудне, 73449",+380 69 603 70 66,babiiborys@example.net
Гаврилюк,Василь,Юрійович,male,1950-03-11,Архітектор,хутір Ланівці,"шосе Пересипська 5-та, буд. 252, Гайсин, 63905",223 01 54,ruslan22@example.net
Супруненко,Лукʼян,Михайлович,male,1977-06-07,Менеджер з маркетингу,хутір Херсон,"вулиця Казанська, буд. 8 кв. 244, Сарни, 40910",+380 (70) 460-88-49,bakumenkozorian@example.com
Скорик,Марта,Іванівна,female,1952-04-21,PR-менеджер,місто Докучаєвськ,"площа Василя Симоненка, буд. 65, Тростянець, 78908",017 583-15-75,oievtushenko@example.com
Негода,Софія,Тарасівна,female,1938-09-14,Менеджер з маркетингу,селище Бучач,"парк Амбулаторний, буд. 871, Васильків, 61258",013 482-78-14,oleksa48@example.org
Романчук,Гаврило,Тарасович,male,1960-09-04,Менеджер з продажу,село Буринь,"набережна Тимірязєва, буд. 55 кв. 5, Лебедин, 23696",072 653-62-98,charnyshleontii@example.org
Сацюк,Арсен,Костянтинович,male,2008-12-01,Асистент керівника,селище Городок,"набережна Баштанна, буд. 4, Світловодськ, 33308",+380 66 934-16-78,terezareva@example.com
Шаповал,Вадим,Марківич,male,1948-12-05,Бухгалтер,хутір Каховка,"вулиця Горбиста, буд. 351 кв. 9, Васильків, 57273",316-30-97,teodor38@example.org
Ткаченко,Лукʼян,Тимофійович,male,2005-06-22,Аудитор,село Залізне,"провулок Заводська, буд. 45, Чортків, 42854",+380 (03) 339-42-78,viktoriia21@example.com
Приходько,Аврелій,Андрійович,male,1956-12-07,Інженер з якості,селище Дружківка,"шосе Шоста, буд. 28, Заводське, 80516",+380 41 506-06-98,esavenko@example.net
Рябовіл,Лукʼян,Мар'янович,male,1988-06-21,Бухгалтер,село Лозова ,"шосе Дунаєвського, буд. 464 кв. 109, Хуст, 20755",+380 89 211-80-78,anzheladeineka@example.com
Макаренко,Віктор,Назарович,male,1956-09-15,HR-менеджер,хутір Красногорівка,"шосе 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 992 кв. 2, Копичинці, 70836",093 203 24 42,irenamatiash@example.org
Ребрик,Климент,Марківич,male,1982-04-24,Менеджер з закупівель,село Кальміуське,"парк Якутська, буд. 68, Василівка , 59448",005 963-74-07,marta27@example.net
Скорик,Богдан,Леонідович,male,1993-07-21,Архітектор,село Свалява,"парк Зелена гірка, буд. 9, Жовква, 04144",096 167-68-24,milenaliashko@example.com
Непорожній,Руслан,Захарович,male,1978-07-27,Копірайтер,село Заліщики,"провулок Лінія 39-та, буд. 18, Арциз, 48113",+380 79 693-11-95,alevtyn51@example.com
Перебийніс,Геннадій,Юрійович,male,2004-02-04,Аналітик даних,селище Угнів,"проспект Професора Каришковського, буд. 726 кв. 340, Шепетівка, 66022",+380 84 112-06-33,zatulaserhii@example.com
Рубець,Оксенія,Іванівна,female,2000-06-30,HR-менеджер,село Ржищів,"площа Олександра Невського 5-й, буд. 5 кв. 37, Комарно, 76808",+380 78 922 88 54,mishchenkookhrim@example.net
Яременко,Семен,Олегович,male,1942-01-06,Копірайтер,село Рогатин,"шосе 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 66 кв. 5, Слов'янськ, 60062",301-16-33,barannykorysia@example.net
Шовкопляс,Сергій,Іванович,male,1969-01-14,Фінансовий аналітик,селище Семенівка,"набережна Лазурний 1-й, буд. 358, Ромни, 09768",071 87 50,khrystynakolodub@example.net
Данько,Алла,Петрівна,female,2003-10-10,Менеджер з маркетингу,хутір Сміла,"провулок Кривобалківська, буд. 18, Славута, 03202",+380 (88) 371-96-85,dmytro55@example.com
Дробʼязко,Наталія,Олексіївна,female,1980-06-04,Архітектор,село Кагарлик,"шосе Отамана Головатого, буд. 6, Чуднів, 36419",+380 21 558-09-68,symonnazarenko@example.org
Яремчук,Валентин,Борисович,male,1992-10-17,Офіс-менеджер,село Болехів,"провулок Вознесенський, буд. 50 кв. 05, Дружба , 92669",+380 69 578 21 30,tmazur@example.com
Чумак,Августин,Максимович,male,1948-01-18,Аудитор,місто Шахтарськ,"сквер Майстерний, буд. 220, Валки , 06814",012 104 89 01,hprymachenko@example.org
Прокопович,Пилип,Максимович,male,1968-03-02,Аудитор,селище Каховка,"проспект Елеваторна, буд. 2 кв. 383, Богуслав, 96422",285-32-04,ckhomyk@example.org
Їжакевич,Трохим,Євгенович,male,1980-07-17,Дизайнер,хутір Узин,"сквер 21-й км Старокиївської дороги, буд. 4 кв. 22, Самбір, 18663",+380 94 390-58-13,bhupalo@example.com
Єрмоленко,Ліза,Мар'янівна,female,1987-01-03,Менеджер з закупівель,село Ладижин,"набережна Каштанова, буд. 9 кв. 98, Богодухів, 66117",+380 85 313 98 83,serhiishamrai@example.org
Таран,Августин,Ярославович,male,1982-08-14,Менеджер з продукту,місто Малин,"провулок Пржевальського, буд. 867 кв. 039, Бориспіль, 53163",078 608-96-53,stefanzaika@example.com
Литвиненко,Леопольд,Іванович,male,1977-03-19,Дизайнер,хутір Білицьке,"шосе Західний 2-й, буд. 40 кв. 330, Авдіївка, 25871",+380 68 395-38-24,myroslavieshchenko@example.net
Гузій,Світлана,Марківна,female,1961-12-03,PR-менеджер,селище Рені,"шосе Тургенєва, буд. 29 кв. 8, Хуст, 82026",008 454 35 53,dshamrai@example.org
Забара,Зиновій,Вікторович,male,1977-09-19,Фінансовий аналітик,селище Білицьке,"площа Якутська, буд. 255, Перечин, 06860",252-91-20,jshcherbak@example.com
Бевз,Володимира,Максимівна,female,1999-04-22,Тестувальник,село Новомиргород,"провулок Березова, буд. 3 кв. 505, Хрестівка, 60429",+380 43 691 96 83,marusia98@example.org
Даценко,Аркадій,Тимофійович,male,1939-02-13,Аналітик даних,селище Корсунь-Шевченківський,"провулок Артилерійська, буд. 93, Дружківка, 84444",+380 (84) 636-91-01,emiliia63@example.net
Прокопович,Максим,Станіславович,male,1986-12-27,Менеджер з закупівель,село Мар'їнка,"сквер Ямська, буд. 657 кв. 24, Південне , 06431",676 70 45,valerii10@example.com
Іваничук,Аніта,Олегівна,female,1947-02-16,Копірайтер,селище Стебник,"набережна Мечникова, буд. 81 кв. 52, Василівка , 12763",586 37 18,uilchenko@example.net
Заїка,Богданна,Ярославівна,female,1964-11-02,Кадровий менеджер,село Ковель,"проспект Більшовицький, буд. 58, Кіцмань, 61589",247 12 24,bazylevychpetro@example.com
Андрійчук,Мілена,Остапівна,female,1971-04-06,Менеджер з продукту,село Коростишів,"узвіз Миколи Огренича, буд. 1, Славута, 12243",082 179 69 93,nataliiatelychenko@example.net
Туркало,Аарон,Данилович,male,1979-01-25,Системний адміністратор,селище Чортків,"парк Студентський 2-й, буд. 3, Самбір, 81705",626-06-30,barannykvolodymyra@example.com
Тригуб,Ярослава,Захарівна,female,2001-12-18,Менеджер з маркетингу,місто Новий Розділ,"парк Рішельєвська, буд. 43 кв. 894, Дрогобич, 26354",078 683 74 19,terezashutko@example.net
Уманець,Орися,Олексіївна,female,1941-03-29,Аналітик даних,хутір Українськ,"парк Східний 2-й, буд. 3 кв. 40, Дубно, 40908",095 732 33 70,symonstus@example.net
Баранник,Христина,Борисівна,female,2003-01-09,Менеджер з продажу,село Бар,"шосе Східчастий 3-й, буд. 34 кв. 343, Косів, 74601",052 615-40-45,viacheslavbalaban@example.net
Лемешко,Юстим,Юрійович,male,1977-02-11,Інженер з якості,хутір Ірміно,"сквер Лінія 53-тя, буд. 59, Кремінна, 70277",020 330 33 80,qiaremenko@example.com
Заєць,Вʼячеслав,Станіславович,male,1943-01-11,Аналітик даних,місто Коростишів,"провулок Теліги Олени, буд. 7 кв. 89, Донецьк, 78993",040 581 30 06,hryhorii97@example.com
Дубенко,Герман,Романович,male,1998-02-16,Менеджер з закупівель,село Гуляйполе,"провулок Шостої 1-й, буд. 5 кв. 40, Нова Каховка, 95031",+380 (27) 347-00-89,hlib55@example.net
Гресь,Соломія,Михайлівна,female,1965-07-08,Копірайтер,село Лозова ,"проспект Аеропортівський 2-й, буд. 131 кв. 80, Амвросіївка, 56600",+380 59 697-72-48,babychviktor@example.net
Гавриленко,Едита,Захарівна,female,1975-05-26,PR-менеджер,село Хмельницький,"парк Довга, буд. 194 кв. 9, Перещепине, 19939",772-75-28,hlibarkhymovych@example.org
Цибуленко,Лукʼян,Ярославович,male,1998-10-26,Дизайнер,селище Славута,"сквер Чорноморський 2-й, буд. 56, Херсон, 07496",041 580 81 03,pavlo66@example.net
Конопля,Вікторія,Олегівна,female,2001-05-22,Системний адміністратор,місто Білозерське,"вулиця Китобійний 1-й, буд. 771, Буча, 46991",074 374-30-95,akymenkotaras@example.org
Ґжицький,Соломон,Максимович,male,1984-04-14,Програміст,село Бобровиця,"провулок Генуезька, буд. 507 кв. 274, Збараж, 84471",+380 42 353-32-07,lukian91@example.org
Рябовіл,Марʼяна,Євгенівна,female,1972-11-06,Системний адміністратор,хутір Алмазна,"проспект Аеропортівський 2-й, буд. 939 кв. 0, Червоносів, 38308",+380 (09) 907-62-74,frants81@example.com
Ейбоженко,Ольга,Олександрівна,female,1946-08-06,Аналітик даних,хутір Ічня,"парк Пересипська 7-ма, буд. 939 кв. 8, Гайворон, 06743",+380 52 649-92-35,teslenkoartem@example.net
Верхола,Стефан,Леонідович,male,1987-12-30,Дизайнер,село Очаків,"узвіз Кавказька, буд. 5, Подільськ, 51623",718-82-06,allatytarenko@example.org
Єресько,Софія,Денисівна,female,1959-12-08,Аналітик даних,село Тараща,"шосе Астрономічний, буд. 07 кв. 97, Молочанськ, 89679",+380 92 495-79-89,mykytiukzakhar@example.com
Дахно,Алевтин,Олександрович,male,1991-05-20,Архітектор,хутір Ржищів,"узвіз Проточний, буд. 39, Коростень, 86300",984-84-39,rchumachenko@example.org
Стус,Валентина,Олегівна,female,1972-05-13,Програміст,село Снятин,"набережна Марії Демченко, буд. 56, Лозова , 87279",844 48 20,ishchenkoalla@example.com
Кальченко,Ярослав,Григорійович,male,1977-04-21,Архітектор,селище Добропілля,"парк Новомосковська дорога, буд. 701 кв. 78, Дергачі, 95630",+380 (55) 246-10-92,lkhmara@example.org
Абрамчук,Розалія,Максимівна,female,1961-06-25,Аудитор,селище Керч,"шосе Фабрична, буд. 339, Ворожба, 14751",+380 (58) 396-15-00,fesenkooryna@example.org
Вівчаренко,Марʼяна,Юріївна,female,1962-09-16,Менеджер з маркетингу,селище Рубіжне,"шосе Лазурний 3-й, буд. 301, Мелітополь, 77157",+380 (44) 713-41-76,symon80@example.org
Чорновіл,Ростислав,Назарович,male,1941-07-03,Бухгалтер,село Сватове,"шосе Бориса Літвака, буд. 349, Авдіївка, 74276",+380 (53) 101-43-41,myroslav63@example.net
Луценко,Любов,Іванівна,female,1983-05-27,Системний адміністратор,хутір Сновськ,"провулок Вузький, буд. 5 кв. 50, П'ятихатки, 10807",149-00-06,andriievychmartyn@example.net
Іваненко,Вʼячеслав,Станіславович,male,1973-03-21,HR-менеджер,місто Вільнянськ,"набережна Горіхова, буд. 5 кв. 34, Сокиряни, 42226",934 08 34,dbandera@example.org
Забіла,Герман,Борисович,male,1955-03-28,Менеджер з закупівель,село Пустомити,"узвіз Одеська, буд. 5, П'ятихатки, 35137",+380 (73) 443-56-25,frantsverkhovynets@example.org
Вдовиченко,Тереза,Максимівна,female,1971-02-07,PR-менеджер,хутір Корсунь-Шевченківський,"сквер Морехідний, буд. 61, Підгородне, 50556",036 945-66-06,mykhailo89@example.net
Верменич,Ірина,Тимофіївна,female,1996-07-28,Офіс-менеджер,селище Жданівка,"вулиця Кутузова, буд. 62, Охтирка, 29232",+380 83 010 17 24,ezasenko@example.com
Литвиненко,Віра,Марківна,female,2008-06-30,Фінансовий аналітик,місто Лозова ,"проспект Індійська, буд. 8, Хмільник, 19519",+380 56 529-09-53,tovstukhamykhailyna@example.net
Ільєнко,Богуслава,Станіславівна,female,1985-02-09,Аудитор,село Мирноград,"проспект Солонцюватий 1-й, буд. 01, Дніпрорудне, 26977",+380 97 639 11 14,iryna33@example.net
Дашенко,Любов,Станіславівна,female,1938-02-03,HR-менеджер,хутір Дебальцеве,"шосе Василя Кандинського 1-й, буд. 3, Білозерське, 50711",+380 52 439-22-47,nkorolenko@example.org
Власенко,Богдан,Денисович,male,2007-08-15,Фінансовий аналітик,місто Чуднів,"сквер Перлинна, буд. 68, Корюківка, 18948",552-87-54,vakarchukleonid@example.org
Єсипенко,Августин,Борисович,male,1945-05-31,Асистент керівника,село Бершадь,"шосе Сумський, буд. 62, Рівне, 36874",+380 (27) 851-46-26,bverkhola@example.net
Міщенко,Надія,Михайлівна,female,2001-10-04,HR-менеджер,місто Щолкіне,"провулок Лізи Чайкіної, буд. 5, Березань , 54500",560 71 63,andrii53@example.com
Ільченко,Данило,Давидович,male,1945-03-02,Аналітик даних,селище Вуглегірськ,"шосе 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 1 кв. 36, Ужгород, 59882",+380 36 292 69 63,rievtushenko@example.com
Валенко,Тереза,Кирилівна,female,1981-04-08,Офіс-менеджер,село Торецьк,"проспект Слави, буд. 751, Шаргород, 23428",+380 11 801 74 51,zzatovkaniuk@example.com
Чалий,Вікторія,Станіславівна,female,1993-10-29,Копірайтер,селище Помічна,"узвіз Обільний 2-й, буд. 5, Середина-Буда, 91464",+380 (51) 261-96-08,iustynanestaiko@example.org
Бабʼюк,Йосип,Ярославович,male,1938-12-12,Менеджер з маркетингу,селище Прилуки,"шосе Баштанна, буд. 475, Лубни, 93020",057 773-97-60,idzyndra@example.org
Охріменко,Ярослав,Іванович,male,1978-01-04,Бухгалтер,хутір Мерефа,"парк Академіка Заболотного, буд. 66 кв. 994, Луцьк, 65924",092 109 34 62,opanas33@example.net
Вітрук,Марина,Данилівна,female,1950-08-27,PR-менеджер,село Кобеляки,"вулиця Капітана Гаврікова, буд. 356 кв. 1, Полтава, 22086",+380 40 376 14 36,igerega@example.org
Баштан,Ярослав,Сергійович,male,1950-12-02,Фінансовий аналітик,місто Харцизьк,"проспект Розумовський 2-й, буд. 4, Ківерці, 32524",346 50 33,makar14@example.net
Данилюк,Пармен,Ігорович,male,1985-08-19,Аналітик даних,село Хирів,"сквер Генуезька, буд. 608 кв. 340, Валки , 79577",098 836-82-04,leonbabak@example.com
Доценко,Марʼяна,Мар'янівна,female,1971-01-20,Копірайтер,селище Апостолове,"сквер Квітковий, буд. 9, Баранівка, 30584",+380 79 762 55 37,ieroshenkoopanas@example.com
Гаврилець,Камілла,Назарівна,female,1991-01-09,Менеджер з маркетингу,місто Вишневе ,"сквер Сміливий, буд. 21 кв. 30, Прилуки, 34079",+380 41 871-70-96,orkhypdzhus@example.com
Захаренко,Людмила,Сергіївна,female,1988-07-15,Менеджер з закупівель,хутір Перещепине,"парк Олександра Кутузакія, буд. 66 кв. 7, Маріуполь, 23203",058 662-04-83,malyshkovolodymyr@example.com
Орлик,Камілла,Ярославівна,female,1983-04-17,Асистент керівника,селище Львів,"парк Ляпунова, буд. 98 кв. 042, Корсунь-Шевченківський, 78648",+380 37 529 24 00,nvoblyi@example.org
Абрамчук,Мартин,Андрійович,male,1980-04-10,Менеджер з продукту,селище Торецьк,"провулок Професора Коровицького, буд. 22, Балта, 39855",+380 (55) 657-40-97,havriushenkoles@example.org
Михайлюк,Антон,Іванович,male,1975-06-04,PR-менеджер,селище Сватове,"шосе Селищний, буд. 437 кв. 4, Берислав, 03354",+380 17 037-31-28,anastasiiamasokha@example.org
Гук,Аніта,Борисівна,female,1959-01-13,Аудитор,село Могилів-Подільський,"сквер Курганська, буд. 3 кв. 612, Новий Розділ, 49681",996-80-19,arkadii11@example.org
Шахрай,Галина,Тимофіївна,female,1944-12-08,Менеджер з закупівель,селище Лохвиця,"проспект Ростовська, буд. 17 кв. 54, Заставна, 17739",012 536 68 98,iemelianenkoiakiv@example.org
Мазур,Охрім,Марківич,male,1946-02-08,Кадровий менеджер,хутір Вишгород,"провулок Бориса Літвака, буд. 18 кв. 566, Зіньків, 43431",+380 63 353 80 06,stefanokhrymovych@example.org
Чумак,Аарон,Кирилович,male,1999-09-05,HR-менеджер,селище Ржищів,"узвіз 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 330 кв. 00, Овруч, 41817",075 027 35 19,raksymon@example.com
Вовк,Дарина,Тарасівна,female,1941-12-28,Системний адміністратор,місто Верхньодніпровськ,"шосе Регенсбург, буд. 0, Старобільськ, 26272",792 76 63,daryna59@example.net
Товстоліс,Лілія,Назарівна,female,1972-01-01,Менеджер з закупівель,селище Борзна,"провулок 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 773, Шпола, 55117",+380 (31) 512-28-87,kusyk@example.com
Лагода,Розалія,Євгенівна,female,1971-03-22,Менеджер з закупівель,село Камінь-Каширський,"проспект Васнецова, буд. 38 кв. 683, Кам'янка (Черкаська область), 92247",399 50 13,pmalyk@example.net
Нестеренко,Соломон,Максимович,male,1989-12-17,Менеджер з маркетингу,село Новгород-Сіверський,"вулиця Литовська, буд. 3, Бахмач, 26667",155-74-85,omelian40@example.org
Дерегус,Орест,Мар'янович,male,2003-02-11,Аудитор,місто Кодима,"площа Лінія 37-ма, буд. 4 кв. 10, Тлумач, 47322",089 910-30-04,dutkaorest@example.org
Дробʼязко,Климент,Данилович,male,1989-08-25,Менеджер з продажу,селище Біляївка,"сквер Вапняне селище, буд. 682 кв. 4, Батурин, 18858",436 05 06,bdzhus@example.net
Дараган,Світлана,Євгенівна,female,1997-07-07,Бухгалтер,хутір Рубіжне,"узвіз Ширшова, буд. 801, Попасна, 97258",+380 (97) 123-86-90,tsushkohennadii@example.com
Єрошенко,Теодор,Ігорович,male,1975-08-07,Програміст,хутір Гайворон,"проспект Білоруська, буд. 35, Тальне, 52253",+380 34 382 32 50,arkadii17@example.org
Саєнко,Іван,Захарович,male,1981-12-15,Програміст,місто Канів,"площа Восьмого березня, буд. 4 кв. 210, Кіцмань, 52166",951-09-77,snizhana40@example.com
Уманець,Сергій,Давидович,male,2000-03-23,PR-менеджер,село Миронівка,"узвіз Лінія 35-та, буд. 226, Алушта, 50586",016 104-96-53,ielysaveta75@example.net
Усик,Аліна,Данилівна,female,1945-06-17,Аналітик даних,село Гірник ,"проспект Шкіперська, буд. 4 кв. 7, Іловайськ, 75049",+380 (86) 413-99-87,dsirchenko@example.org
Михайлюк,Трохим,Геннадійович,male,1965-01-30,Тестувальник,селище Мена ,"набережна Косий, буд. 19, Дрогобич, 98851",021 671 43 09,truban@example.net
Устенко,Тереза,Данилівна,female,1978-12-15,Архітектор,селище Косів,"парк Садова, буд. 3 кв. 4, Ладижин, 09917",+380 62 709-39-26,tetiana25@example.com
Гайда,Юхим,Давидович,male,1962-12-31,Системний адміністратор,місто Житомир,"узвіз Толбухіна, буд. 774, Одеса, 90141",+380 66 678-82-22,gvlasenko@example.org
Вернидуб,Болеслав,Ігорович,male,1976-09-29,Копірайтер,село Голубівка,"площа Миколи Боровського, буд. 227 кв. 60, Дубно, 66829",087 524-14-14,tavramenko@example.com
Бездітко,Пантелеймон,Олександрович,male,1967-09-04,Програміст,селище Мостиська,"вулиця Старосінна, буд. 9, Макіївка, 41223",+380 00 558-70-34,azarieromenko@example.org
Носаченко,Вадим,Ярославович,male,1972-11-20,Архітектор,село Географія Вільнянська,"площа Тюльпанний, буд. 642, Валки , 31633",983-75-13,albertbezborodko@example.net
Андріїшин,Устим,Вікторович,male,1949-09-15,Офіс-менеджер,селище Вільногірськ,"сквер Льва Симиренка, буд. 04 кв. 796, Амвросіївка, 40491",658 90 14,tdeineka@example.org
Василевич,Миколай,Давидович,male,1979-08-12,Фінансовий аналітик,місто Пологи ,"провулок Думська, буд. 04 кв. 081, Львів, 59114",+380 85 416 94 90,iukhym10@example.net
Гречаник,Варвара,Захарівна,female,1974-06-05,Бухгалтер,село Сколе,"проспект Теліги Олени, буд. 037, Ізяслав, 22801",808 58 76,xdeisun@example.com
Колісниченко,Геннадій,Іванович,male,1999-07-05,Інженер з якості,місто Ізюм,"шосе Маріїнська, буд. 9 кв. 1, Красноград, 08605",+380 92 025-26-25,iemelianenkoserhii@example.net
Токар,Амалія,Данилівна,female,1976-01-29,Офіс-менеджер,місто Залізне,"узвіз Астрономічна, буд. 9 кв. 5, Глухів, 79225",038 229-60-52,hordii08@example.net
Цюпа,Азар,Васильович,male,1977-06-01,Фінансовий аналітик,хутір Кіцмань,"вулиця Юннатів, буд. 9 кв. 81, Судак , 76893",545-43-42,matiashmariia@example.com
Мамчур,Василина,Зеновіївна,female,1960-02-14,Архітектор,село Буськ,"парк Рачкова, буд. 242, Попасна, 85532",+380 56 834-70-99,somkovasyl@example.org
Рудик,Людмила,Юріївна,female,1983-10-11,Менеджер з продажу,місто Черкаси,"провулок Підйомний, буд. 8 кв. 7, Переяслав, 61234",+380 93 714-24-45,venedyktchaban@example.org
Аврамчук,Зиновій,Володимирович,male,1978-10-28,Архітектор,село Самбір,"провулок Виноградний, буд. 5, Долинська, 73303",+380 83 645-44-66,suprunenkobohdanna@example.net
Франчук,Михайлина,Федорівна,female,1980-09-23,Менеджер з продажу,селище Новий Буг,"узвіз Лиманчик 2-й Лінія 4-та, буд. 05, Луцьк, 92469",+380 51 304 64 70,kalchenkoles@example.net
Їжак,Віолетта,Кирилівна,female,1959-05-01,Аудитор,хутір Дружба ,"вулиця Разумовська, буд. 68 кв. 7, Часів Яр, 48323",+380 90 786 96 16,demydzabashta@example.net
Лесик,Панас,Олексійович,male,1980-02-16,Офіс-менеджер,селище Південне ,"узвіз Юрженка Олександра, буд. 648, Тетіїв, 01279",000 908 14 41,nestorbaida@example.net
Баштан,Пармен,Зеновійович,male,1977-05-20,Архітектор,місто Дружба ,"шосе Ширяївський, буд. 1, Жашків, 95235",+380 88 533-39-70,alinaderehus@example.net
Цюпа,Богуслав,Сергійович,male,1995-03-03,Аудитор,селище Костянтинівка,"вулиця Короткий, буд. 326, Комарно, 66920",+380 01 115-95-09,lizaoberemko@example.net
Скоробогатько,Гордій,Тимофійович,male,1970-01-18,Асистент керівника,село Герца,"провулок Іспанська, буд. 6 кв. 27, Шостка, 16199",081 325 07 07,kovalenkoustym@example.org
Тимченко,Василина,Станіславівна,female,1947-10-04,Менеджер з продукту,село Зимогір'я,"сквер Штурманська, буд. 0 кв. 02, Іллінці, 22249",071 246 11 65,orynaiaremenko@example.net
Чалий,Охрім,Денисович,male,1958-10-15,Бухгалтер,селище Іллінці,"вулиця Зоопаркова, буд. 55 кв. 699, Красноперекопськ, 05952",073 385 67 84,hennadii72@example.org
Нестайко,Теодор,Іванович,male,1945-09-06,Менеджер з продажу,селище Берестечко,"парк Лузанівський 1-й, буд. 061, Луцьк, 84546",015 208-03-03,stanislav46@example.net
Кащенко,Володимира,Григоріївна,female,1942-12-16,Кадровий менеджер,місто Жовті Води,"узвіз Трудовий, буд. 598 кв. 79, Алупка, 88046",+380 38 486-07-41,tereza84@example.com
Титаренко,Марʼяна,Давидівна,female,1968-03-12,Менеджер з закупівель,селище Рава-Руська,"площа Таїрова, буд. 8 кв. 94, Сколе, 87724",+380 63 573-61-72,bohuslavmiroshnychenko@example.com
Смик,Володимира,Володимирівна,female,1938-02-19,Системний адміністратор,село Очаків,"узвіз Моторний 2-й, буд. 6 кв. 018, Герца, 17433",+380 67 498-88-82,giashchuk@example.com
Артимович,Єлисей,Олегович,male,1966-04-16,Менеджер з закупівель,місто Пирятин,"сквер Світанку, буд. 0 кв. 792, Баштанка, 20405",+380 16 873 03 52,frants89@example.com
Дубенко,Климент,Кирилович,male,2000-03-08,Менеджер з маркетингу,селище Барвінкове,"парк Лінія 25-та, буд. 8, Жашків, 71784",+380 61 207-68-04,alevtynnehoda@example.com
Барабаш,Богодар,Павлович,male,1959-07-20,Бухгалтер,місто Моршин,"шосе Балтський 6-й, буд. 219, Шостка, 28846",+380 72 587-85-00,serhiihaidai@example.org
Теліженко,Павло,Остапович,male,1967-05-24,Бухгалтер,селище Нова Одеса,"узвіз Новощіпний ряд, буд. 920, Одеса, 79050",082 591 57 38,tereshchenkonestor@example.com
Баштан,Остап,Леонідович,male,1965-11-07,Фінансовий аналітик,селище Макіївка,"сквер Соціальна, буд. 029, Почаїв, 31842",+380 47 288-14-96,olestsymbaliuk@example.org
Лемешко,Софія,Василівна,female,1979-01-15,Аналітик даних,село Харків,"площа Гагарінське плато, буд. 944, Зугрес, 94133",985 38 37,ciermolenko@example.net
Бабич,Василина,Іванівна,female,1948-06-14,Системний адміністратор,селище Жашків,"сквер Василя Кандинського 1-й, буд. 276, Яворів, 45985",+380 80 982 61 53,nalyvaikomariia@example.org
Радченко,Мілена,Володимирівна,female,1983-06-03,Архітектор,хутір Ладижин,"площа Пiвденний, буд. 714 кв. 0, Славута, 37750",654-12-52,alinadziuba@example.org
Філіпенко,Спас,Романович,male,1963-03-02,Менеджер з закупівель,місто Золоте,"узвіз Восьмого березня, буд. 7, Жданівка, 50152",144 78 23,piatachenkotaras@example.net
Худяк,Опанас,Ігорович,male,1977-04-21,Асистент керівника,хутір Бориспіль,"проспект Брестська, буд. 991 кв. 355, Тиврів, 55953",022 563 93 08,kostiantyn52@example.net
Орлик,Павло,Олегович,male,1969-03-05,Бухгалтер,місто Світловодськ,"парк Віри Холодної, буд. 092, Кременчук, 89015",+380 64 631-94-39,mykhailolytvyn@example.com
Авдєєнко,Климент,Євгенович,male,1947-05-15,Програміст,село Хирів,"сквер Локомотивна, буд. 2, Ічня, 96627",422 89 14,geretabohuslava@example.com
Москаль,Борислав,Сергійович,male,1951-12-26,Інженер з якості,хутір Мар'їнка,"площа Чорноморський 11-й, буд. 30, Кам'янець-Подільський, 34952",056 749-39-65,eparasiuk@example.net
Шморгун,Ілля,Леонідович,male,1983-01-20,Офіс-менеджер,місто Кипуче,"набережна Миколи Гумільова, буд. 463 кв. 47, Ківерці, 26380",702-48-73,ltkach@example.org
Ємець,Ярослав,Назарович,male,1986-05-10,Аналітик даних,місто Синельникове,"парк Торгова, буд. 38 кв. 716, Вишневе , 89437",+380 08 316-87-37,vavramenko@example.com
Жаліло,Семен,Леонідович,male,1964-06-12,Архітектор,село Тетіїв,"шосе 3-тя Суворовська, буд. 807 кв. 7, Березань , 54143",+380 (75) 853-17-51,liudmylaiatsenko@example.com
Усик,Надія,Сергіївна,female,1993-11-12,Менеджер з маркетингу,село Нововолинськ,"набережна Академічний, буд. 2, Добромиль, 85686",+380 23 616 23 09,tbabarychenko@example.org
Дергач,Амвросій,Марківич,male,1991-04-20,Архітектор,місто Ватутіне,"провулок Лінія 33-тя, буд. 03 кв. 41, Новогродівка, 03584",+380 73 485-65-05,pavlo80@example.net
